time,count,words
2017-02-05 15:49:00-08:00,9952,bush george win commercial watching im commercials brady like president
2017-02-05 15:50:00-08:00,9272,bush george win watching president im like falcons commercial hw
2017-02-05 15:51:00-08:00,9064,bush win george like watching falcons brady america president im
2017-02-05 15:52:00-08:00,9386,brady bush win like watching falcons george im amp america
2017-02-05 15:53:00-08:00,9342,brady bush falcons like watching win sack im sacked george
2017-02-05 15:54:00-08:00,11397,brady falcons bush like win sack tom sacked watching game
2017-02-05 15:55:00-08:00,10973,brady bush falcons win commercial tom like commercials watching im
2017-02-05 15:56:00-08:00,12305,commercial skittles commercials bush brady get like win falcons watching
2017-02-05 15:57:00-08:00,10129,commercial bush falcons commercials win brady watching like watch im
2017-02-05 15:58:00-08:00,9461,bush win commercial falcons brady like watch watching im commercials
2017-02-05 15:59:00-08:00,8838,bush win falcons watching like brady im commercial commercials gaga
2017-02-05 16:00:00-08:00,9541,bush win falcons like commercial game watching im watch brady
2017-02-05 16:01:00-08:00,9811,commercial bush win commercials like falcons im watching go game
2017-02-05 16:02:00-08:00,10962,commercial commercials bush watching win like oil one go falcons
2017-02-05 16:03:00-08:00,10104,commercial commercials bush one like win gaga watching lady oil
2017-02-05 16:04:00-08:00,10365,patriots quarter commercial bush commercials first score one win like
2017-02-05 16:05:00-08:00,10902,quarter commercials 1st first score commercial one win bush falcons
2017-02-05 16:06:00-08:00,12460,commercials commercial quarter brady 1st tom one score win watching
2017-02-05 16:07:00-08:00,12907,commercials commercial quarter win bush brady one ad watching far
2017-02-05 16:08:00-08:00,11764,commercials commercial falcons win watching brady ad quarter like bush
2017-02-05 16:09:00-08:00,12654,falcons recover ball commercials commercial fumble fumbleeeeeeeeee win bush first
2017-02-05 16:10:00-08:00,10858,falcons commercials commercial amp win america recover pirates game bush
2017-02-05 16:11:00-08:00,13328,commercial cam commercials buick newton far falcons best win america
2017-02-05 16:12:00-08:00,12423,commercial cam julio newton commercials amp far jones win best
2017-02-05 16:13:00-08:00,12330,commercial freeman falcons amp best win commercials like every cam
2017-02-05 16:14:00-08:00,10440,commercial falcons freeman win commercials best amp watching like im
2017-02-05 16:15:00-08:00,13042,commercial commercials win bieber best falcons like justin amp im
2017-02-05 16:16:00-08:00,18852,falcons touchdown freeman first commercial devonta td easy scoring touchdowns
2017-02-05 16:17:00-08:00,19369,falcons touchdown freeman first td commercial devonta strike one atlanta
2017-02-05 16:18:00-08:00,16946,falcons touchdown commercial first freeman one atl atlanta 7 0
2017-02-05 16:19:00-08:00,16674,commercial falcons touchdown first commercials win epic one freeman best
2017-02-05 16:20:00-08:00,13659,commercial falcons first win touchdown commercials amp one im best
2017-02-05 16:21:00-08:00,12959,commercial falcons amp first win like one watch commercials watching
2017-02-05 16:22:00-08:00,11860,commercial falcons like amp win first watching america im bush
2017-02-05 16:23:00-08:00,10701,commercial falcons fly like win amp first freeman watching commercials
2017-02-05 16:24:00-08:00,12475,commercial falcons like win commercials amp first im america halftime
2017-02-05 16:25:00-08:00,14175,im game us happy wishing living lowkey commercial falcons commercials
2017-02-05 16:26:00-08:00,14176,julio commercial im game falcons jones us like win happy
2017-02-05 16:27:00-08:00,12391,commercial hit im youve julio falcons game like win watching
2017-02-05 16:28:00-08:00,19331,hit youve touchdown falcons one another matty ice commercial im
2017-02-05 16:29:00-08:00,17916,hit youve falcons touchdown one another matty win commercial atlanta
2017-02-05 16:30:00-08:00,19792,hit youve touchdown falcons hooper 14 0 atl ne commercial
2017-02-05 16:31:00-08:00,18804,hit youve falcons touchdown commercial win like one atlanta hooper
2017-02-05 16:32:00-08:00,18033,hit youve falcons commercial touchdown like win one hooper halftime
2017-02-05 16:33:00-08:00,15774,hit youve falcons commercial touchdown like win patriots halftime bush
2017-02-05 16:34:00-08:00,14358,hit youve falcons commercial win patriots halftime like bush going
2017-02-05 16:35:00-08:00,13167,hit youve falcons commercial win bush brady like halftime im
2017-02-05 16:36:00-08:00,13347,falcons hit patriots im youve win bush like halftime commercial
2017-02-05 16:37:00-08:00,12384,hit patriots im falcons youve bush commercial win like halftime
2017-02-05 16:38:00-08:00,12312,hit im patriots falcons youve commercial look bush win halftime
2017-02-05 16:39:00-08:00,13127,hit patriots falcons im youve win commercial bush halftime like
2017-02-05 16:40:00-08:00,12934,hit patriots im falcons youve commercial win bush look like
2017-02-05 16:41:00-08:00,14051,falcons patriots hit gaga im commercial youve look win halftime
2017-02-05 16:42:00-08:00,15006,falcons patriots hit gaga halftime im holding youve commercial win
2017-02-05 16:43:00-08:00,13064,falcons gaga hit patriots halftime win im commercial youve lady
2017-02-05 16:44:00-08:00,13051,falcons patriots im gaga wow pick halftime win commercial game
2017-02-05 16:45:00-08:00,32607,pick falcons brady wow right patriots alford 6 game tom
2017-02-05 16:46:00-08:00,36251,falcons patriots pick brady tom 210 6 right lead atlanta
2017-02-05 16:47:00-08:00,36187,falcons patriots deflated brady pick6 tom pick yards 82 right
2017-02-05 16:48:00-08:00,31354,falcons deflated patriots brady tom pick right td im like
2017-02-05 16:49:00-08:00,25314,falcons patriots brady deflated tom pick right like win td
2017-02-05 16:50:00-08:00,22888,patriots falcons brady deflated tom im win right like hit
2017-02-05 16:51:00-08:00,21136,falcons patriots brady deflated tom win im 21 hit right
2017-02-05 16:52:00-08:00,19328,patriots falcons brady deflated tom im win hit right like
2017-02-05 16:53:00-08:00,17259,patriots falcons brady tom deflated im win halftime like hit
2017-02-05 16:54:00-08:00,17396,patriots brady falcons tom im win deflated halftime hit get
2017-02-05 16:55:00-08:00,17336,patriots falcons brady win im tom wow halftime deflated like
