time, counts
2017/02/06 00:04:0, 5131
2017/02/06 00:04:30, 5234
2017/02/06 00:05:0, 5309
2017/02/06 00:05:30, 5593
2017/02/06 00:06:0, 6075
2017/02/06 00:06:30, 6385
2017/02/06 00:07:0, 6846
2017/02/06 00:07:30, 6061
2017/02/06 00:08:0, 5841
2017/02/06 00:08:30, 5923
2017/02/06 00:09:0, 6549
2017/02/06 00:09:30, 6105
2017/02/06 00:10:0, 5860
2017/02/06 00:10:30, 4998
2017/02/06 00:11:0, 6761
2017/02/06 00:11:30, 6567
2017/02/06 00:12:0, 6443
2017/02/06 00:12:30, 5980
2017/02/06 00:13:0, 6208
2017/02/06 00:13:30, 6122
2017/02/06 00:14:0, 5329
2017/02/06 00:14:30, 5111
2017/02/06 00:15:0, 6258
2017/02/06 00:15:30, 6784
2017/02/06 00:16:0, 7399
2017/02/06 00:16:30, 11453
2017/02/06 00:17:0, 10359
2017/02/06 00:17:30, 9010
2017/02/06 00:18:0, 8901
2017/02/06 00:18:30, 8045
2017/02/06 00:19:0, 8471
2017/02/06 00:19:30, 8203
2017/02/06 00:20:0, 7494
2017/02/06 00:20:30, 6165
2017/02/06 00:21:0, 6540
2017/02/06 00:21:30, 6419
2017/02/06 00:22:0, 5699
2017/02/06 00:22:30, 6161
2017/02/06 00:23:0, 5634
2017/02/06 00:23:30, 5067
2017/02/06 00:24:0, 5830
2017/02/06 00:24:30, 6645
2017/02/06 00:25:0, 7748
2017/02/06 00:25:30, 6427
2017/02/06 00:26:0, 6849
2017/02/06 00:26:30, 7327
2017/02/06 00:27:0, 6210
2017/02/06 00:27:30, 6181
2017/02/06 00:28:0, 8472
2017/02/06 00:28:30, 10859
2017/02/06 00:29:0, 9152
2017/02/06 00:29:30, 8764
2017/02/06 00:30:0, 9908
2017/02/06 00:30:30, 9884
2017/02/06 00:31:0, 9505
2017/02/06 00:31:30, 9299
2017/02/06 00:32:0, 9312
2017/02/06 00:32:30, 8721
2017/02/06 00:33:0, 8216
2017/02/06 00:33:30, 7558
2017/02/06 00:34:0, 7329
2017/02/06 00:34:30, 7029
2017/02/06 00:35:0, 7016
2017/02/06 00:35:30, 6151
2017/02/06 00:36:0, 6795
2017/02/06 00:36:30, 6552
2017/02/06 00:37:0, 6129
2017/02/06 00:37:30, 6255
2017/02/06 00:38:0, 5804
2017/02/06 00:38:30, 6508
2017/02/06 00:39:0, 6828
2017/02/06 00:39:30, 6299
2017/02/06 00:40:0, 6383
2017/02/06 00:40:30, 6551
2017/02/06 00:41:0, 6240
2017/02/06 00:41:30, 7811
2017/02/06 00:42:0, 7806
2017/02/06 00:42:30, 7200
2017/02/06 00:43:0, 6975
2017/02/06 00:43:30, 6089
2017/02/06 00:44:0, 6342
2017/02/06 00:44:30, 6709
2017/02/06 00:45:0, 15568
2017/02/06 00:45:30, 17039
2017/02/06 00:46:0, 17714
2017/02/06 00:46:30, 18537
2017/02/06 00:47:0, 18564
2017/02/06 00:47:30, 17623
2017/02/06 00:48:0, 16956
2017/02/06 00:48:30, 14398
2017/02/06 00:49:0, 12789
2017/02/06 00:49:30, 12525
2017/02/06 00:50:0, 11293
2017/02/06 00:50:30, 11595
2017/02/06 00:51:0, 11355
2017/02/06 00:51:30, 9781
